ts,commit,mode,domains,checks,match,fail,drift,pct
2026-07-13 13:07,697046a,fast,2,41,41,0,0,100.0
2026-07-13 16:44,8fa878c,full,11,661,643,15,3,97.3
2026-07-13 17:11,a788551,fast,2,41,41,0,0,100.0
2026-07-13 18:05,2fb196c,full,11,678,626,24,28,92.3
2026-07-13 18:58,b4a1d3d,full,11,676,662,12,2,97.9
2026-07-13 19:04,a0d3d46,custom,2,62,61,0,1,98.4
2026-07-13 19:45,a0d3d46,full,11,661,658,0,3,99.5
2026-07-17 03:49,ab1110a,fast,2,41,41,0,0,100.0
2026-07-17 21:11,721315d,fast,2,41,41,0,0,100.0
2026-07-19 01:43,b15ffe4,fast,2,41,41,0,0,100.0
